"CustomerID","Recency","Frequency","Monetary","First_Purchase","Last_Purchase","R_Score","F_Score","M_Score","RFM_Score","RFM_Category","Segment"
12390,80.1368055555556,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,2,2,3,7,"223","At Risk"
12391,22.0298611111111,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,4,2,2,8,"422","Potential Loyalists"
12393,72.88125,4,1582.6,2011-01-11 09:47:00,2011-09-28 15:41:00,2,4,4,10,"244","Needing Attention"
12394,64.1958333333333,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,3,3,4,10,"334","Potential Loyalists"
12395,19.8951388888889,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,4,5,5,14,"455","Champions"
12397,36.1236111111111,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,3,3,5,11,"335","Potential Loyalists"
12398,46.0993055555556,1,1635.66,2011-10-25 10:27:00,2011-10-25 10:27:00,3,2,4,9,"324","Potential Loyalists"
12399,119.982638888889,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,2,4,4,10,"244","Needing Attention"
12401,303.958333333333,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,1,2,1,4,"121","Hibernating"
12402,323.959027777778,1,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,1,2,1,4,"121","Hibernating"
12403,50.0826388888889,1,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,3,2,2,7,"322","Potential Loyalists"
12405,149.165277777778,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,2,2,4,8,"224","At Risk"
12406,22.7277777777778,2,3415.3,2011-06-09 10:23:00,2011-11-17 19:22:00,4,3,5,12,"435","Loyal Customers"
12407,50.1104166666667,5,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,3,4,4,11,"344","Potential Loyalists"
12408,33.0159722222222,5,2888.55,2011-03-24 14:46:00,2011-11-07 12:27:00,4,4,5,13,"445","Champions"
12409,79.0916666666667,3,11072.67,2011-06-10 12:19:00,2011-09-22 10:38:00,2,4,5,11,"245","Needing Attention"
12410,309.090972222222,2,693.33,2011-02-04 10:38:00,2011-02-04 10:39:00,1,3,3,7,"133","Needing Attention"
12412,75.1069444444445,3,1226.88,2011-06-23 13:51:00,2011-09-26 10:16:00,2,4,4,10,"244","Needing Attention"
12413,67.1597222222222,3,758.1,2011-01-06 16:12:00,2011-10-04 09:00:00,3,4,3,10,"343","Potential Loyalists"
12414,217.915972222222,3,562.41,2011-02-02 14:51:00,2011-05-06 14:51:00,1,4,3,8,"143","Needing Attention"
12415,24.9361111111111,21,124914.53,2011-01-06 11:12:00,2011-11-15 14:22:00,4,5,5,14,"455","Champions"
12417,3.91527777777778,9,3649.1,2010-12-17 11:51:00,2011-12-06 14:52:00,5,5,5,15,"555","Champions"
12418,113.070833333333,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,2,2,3,7,"223","At Risk"
12420,64.1631944444444,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,3,2,3,8,"323","Potential Loyalists"
12421,16.1548611111111,4,807.04,2011-01-24 15:09:00,2011-11-24 09:07:00,4,4,3,11,"443","Loyal Customers"
12422,96.1263888888889,3,803.56,2011-01-19 09:13:00,2011-09-05 09:48:00,2,4,3,9,"243","Needing Attention"
12423,1.11111111111111,8,1859.31,2010-12-21 10:54:00,2011-12-09 10:10:00,5,5,4,14,"554","Champions"
12424,163.030555555556,2,1760.96,2011-06-30 12:06:00,2011-06-30 12:06:00,2,3,4,9,"234","Needing Attention"
12425,78.8048611111111,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,2,2,3,7,"223","At Risk"
12426,195.016666666667,1,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,1,2,3,6,"123","At Risk"
12427,22.1625,3,825.8,2010-12-03 10:44:00,2011-11-18 08:56:00,4,4,3,11,"443","Loyal Customers"
12428,26.1861111111111,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,4,5,5,14,"455","Champions"
12429,9.81111111111111,4,3750.4,2010-12-09 12:05:00,2011-11-30 17:22:00,5,4,5,14,"545","Champions"
12430,43.9034722222222,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,3,2,2,7,"322","Potential Loyalists"
12431,36.0381944444444,15,6487.45,2010-12-01 10:03:00,2011-11-04 11:55:00,3,5,5,13,"355","Champions"
12432,43.0465277777778,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,3,4,5,12,"345","Potential Loyalists"
12433,1.11666666666667,7,13375.87,2010-12-01 13:24:00,2011-12-09 10:02:00,5,5,5,15,"555","Champions"
12434,85.0083333333333,2,806.14,2011-03-24 13:05:00,2011-09-16 12:38:00,2,3,3,8,"233","Needing Attention"
12435,80.1555555555556,2,7829.89,2011-03-17 07:40:00,2011-09-21 09:06:00,2,3,5,10,"235","Needing Attention"
12436,100.028472222222,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,2,2,3,7,"223","At Risk"
12437,2.05208333333333,18,4951.41,2011-01-12 14:13:00,2011-12-08 11:35:00,5,5,5,15,"555","Champions"
12438,14.9736111111111,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,4,3,5,12,"435","Loyal Customers"
12441,367.086805555556,1,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,1,2,1,4,"121","Hibernating"
12442,3.93611111111111,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,5,2,1,8,"521","Others"
12444,21.9770833333333,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,4,4,5,13,"445","Champions"
12445,22.7548611111111,1,133.4,2011-11-17 18:43:00,2011-11-17 18:43:00,4,2,1,7,"421","Others"
12446,58,1,1002.31,2011-10-13 12:50:00,2011-10-13 12:50:00,3,2,4,9,"324","Potential Loyalists"
12447,243.975694444444,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,1,2,2,5,"122","At Risk"
12448,44.9611111111111,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,3,2,2,7,"322","Potential Loyalists"
12449,22.9611111111111,4,4067.29,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4,5,13,"445","Champions"
12450,156.922916666667,2,197.88,2011-06-19 14:36:00,2011-07-06 14:41:00,2,3,1,6,"231","Others"
12451,11.1736111111111,5,9035.52,2011-01-19 09:05:00,2011-11-29 08:40:00,5,4,5,14,"545","Champions"
12452,17.0986111111111,2,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,4,3,2,9,"432","Potential Loyalists"
12453,134.945833333333,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,2,2,3,7,"223","At Risk"
12454,56.8173611111111,1,3528.34,2011-10-14 17:13:00,2011-10-14 17:13:00,3,2,5,10,"325","Potential Loyalists"
12455,73.8881944444445,6,2466.86,2011-02-16 09:56:00,2011-09-27 15:31:00,2,5,5,12,"255","Needing Attention"
12456,44.9229166666667,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,3,4,5,12,"345","Potential Loyalists"
12457,66.9840277777778,7,2363.23,2011-04-14 18:57:00,2011-10-04 13:13:00,3,5,5,13,"355","Champions"
12458,71.8923611111111,2,947.4,2011-02-28 10:55:00,2011-09-29 15:25:00,3,3,4,10,"334","Potential Loyalists"
12461,94.8284722222222,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,2,3,3,8,"233","Needing Attention"
12462,19.1520833333333,2,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,4,3,4,11,"434","Loyal Customers"
12463,53.9625,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,3,4,4,11,"344","Potential Loyalists"
12464,10.9701388888889,8,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,5,5,4,14,"554","Champions"
12465,17.8444444444444,2,742.19,2011-06-23 13:37:00,2011-11-22 16:34:00,4,3,3,10,"433","Loyal Customers"
12468,188.051388888889,2,729.54,2011-01-27 13:29:00,2011-06-05 11:36:00,1,3,3,7,"133","Needing Attention"
12471,2.87986111111111,30,19824.05,2010-12-10 09:35:00,2011-12-07 15:43:00,5,5,5,15,"555","Champions"
12472,32.9506944444444,7,6572.11,2010-12-05 14:19:00,2011-11-07 14:01:00,4,5,5,14,"455","Champions"
12473,29.9611111111111,5,3938.55,2011-06-01 10:15:00,2011-11-10 13:46:00,4,4,5,13,"445","Champions"
12474,17.9243055555556,18,7375.79,2011-01-14 10:06:00,2011-11-22 14:39:00,4,5,5,14,"455","Champions"
12475,54.1111111111111,1,723.38,2011-10-17 10:10:00,2011-10-17 10:10:00,3,2,3,8,"323","Potential Loyalists"
12476,16.0069444444444,11,6816.42,2010-12-13 14:39:00,2011-11-24 12:40:00,4,5,5,14,"455","Champions"
12477,23.1243055555556,6,13219.74,2011-02-11 12:45:00,2011-11-17 09:51:00,4,5,5,14,"455","Champions"
12478,4.12083333333333,1,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,5,2,3,10,"523","Potential Loyalists"
12479,11.975,1,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,5,2,3,10,"523","Potential Loyalists"
12480,28.9152777777778,4,3281.63,2011-01-07 15:27:00,2011-11-11 14:52:00,4,4,5,13,"445","Champions"
12481,23.18125,10,5596.32,2010-12-09 10:13:00,2011-11-17 08:29:00,4,5,5,14,"455","Champions"
12483,17.825,8,2484.98,2011-01-04 14:20:00,2011-11-22 17:02:00,4,5,5,14,"455","Champions"
12484,33.0506944444444,6,4541.72,2011-01-07 14:04:00,2011-11-07 11:37:00,3,5,5,13,"355","Champions"
12488,10.1666666666667,3,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,5,4,4,13,"544","Champions"
12489,336.984027777778,1,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,1,2,2,5,"122","At Risk"
12490,5.86319444444444,10,5417.93,2011-01-14 09:13:00,2011-12-04 16:07:00,5,5,5,15,"555","Champions"
12491,39.0222222222222,1,460.4,2011-11-01 12:18:00,2011-11-01 12:18:00,3,2,2,7,"322","Potential Loyalists"
12492,63.8993055555556,2,263.21,2011-08-26 14:51:00,2011-10-07 15:15:00,3,3,2,8,"332","Potential Loyalists"
12493,166.10625,2,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,2,3,2,7,"232","At Risk"
12494,16.1361111111111,7,1246.1,2010-12-09 11:31:00,2011-11-24 09:34:00,4,5,4,13,"454","Champions"
12497,82.0145833333333,1,1043.1,2011-09-19 12:29:00,2011-09-19 12:29:00,2,2,4,8,"224","At Risk"
12498,21.9979166666667,3,403.7,2011-10-13 09:30:00,2011-11-18 12:53:00,4,4,2,10,"442","Potential Loyalists"
12500,23.8541666666667,11,4257.82,2011-01-10 09:48:00,2011-11-16 16:20:00,4,5,5,14,"455","Champions"
12501,337.015277777778,1,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2,5,8,"125","At Risk"
12502,96.0402777777778,5,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,2,4,5,11,"245","Needing Attention"
12504,18.8666666666667,2,482.05,2011-11-09 14:56:00,2011-11-21 16:02:00,4,3,2,9,"432","Potential Loyalists"
12506,233.163888888889,1,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,1,2,1,4,"121","Hibernating"
12507,134.820138888889,3,1304.81,2011-02-14 09:24:00,2011-07-28 17:09:00,2,4,4,10,"244","Needing Attention"
12508,26.8840277777778,2,398.27,2011-11-10 16:27:00,2011-11-13 15:37:00,4,3,2,9,"432","Potential Loyalists"
12509,284.920138888889,1,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,1,2,1,4,"121","Hibernating"
12510,143.107638888889,2,982.57,2011-01-18 14:04:00,2011-07-20 10:15:00,2,3,4,9,"234","Needing Attention"
12512,66.9131944444444,2,138.03,2011-10-04 14:53:00,2011-10-04 14:55:00,3,3,1,7,"331","Others"
12513,113.082638888889,1,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,2,2,3,7,"223","At Risk"
12514,267.841666666667,1,1017.68,2011-03-17 16:38:00,2011-03-17 16:38:00,1,2,4,7,"124","At Risk"
12515,353.879861111111,1,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,1,2,2,5,"122","At Risk"
12516,78.1506944444444,2,1312.06,2011-06-12 11:37:00,2011-09-23 09:13:00,2,3,4,9,"234","Needing Attention"
12517,28.9486111111111,5,2502.84,2011-06-02 15:13:00,2011-11-11 14:04:00,4,4,5,13,"445","Champions"
12518,1.10902777777778,5,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,5,4,4,13,"544","Champions"
12519,64.1416666666667,1,340.84,2011-10-07 09:26:00,2011-10-07 09:26:00,3,2,2,7,"322","Potential Loyalists"
12520,79.89375,5,2634.26,2011-03-11 11:35:00,2011-09-21 15:23:00,2,4,5,11,"245","Needing Attention"
12521,143.082638888889,1,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,2,2,3,7,"223","At Risk"
12522,39.8888888888889,2,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,3,3,1,7,"331","Others"
12523,19.9965277777778,11,1789.77,2011-01-12 09:43:00,2011-11-20 12:55:00,4,5,4,13,"454","Champions"
12524,9.88819444444444,8,4485.72,2011-01-10 10:35:00,2011-11-30 15:31:00,5,5,5,15,"555","Champions"
12526,1.02847222222222,3,1316.66,2011-09-06 14:19:00,2011-12-09 12:09:00,5,4,4,13,"544","Champions"
12527,82.0381944444444,3,348.71,2011-01-18 12:05:00,2011-09-19 11:55:00,2,4,2,8,"242","At Risk"
12528,9.92361111111111,6,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,5,5,4,14,"554","Champions"
12530,60.0111111111111,4,1662.28,2011-01-07 10:04:00,2011-10-11 12:34:00,3,4,4,11,"344","Potential Loyalists"
12531,15.0680555555556,1,125.22,2011-11-25 11:12:00,2011-11-25 11:12:00,4,2,1,7,"421","Others"
12532,30.9604166666667,1,349.83,2011-11-09 13:47:00,2011-11-09 13:47:00,4,2,2,8,"422","Potential Loyalists"
12534,131.1,1,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,2,2,4,8,"224","At Risk"
12535,92.1680555555556,2,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,2,3,3,8,"233","Needing Attention"
12536,43.9375,3,12601.83,2011-10-11 14:52:00,2011-10-27 14:20:00,3,4,5,12,"345","Potential Loyalists"
12538,29.8152777777778,1,363.95,2011-11-10 17:16:00,2011-11-10 17:16:00,4,2,2,8,"422","Potential Loyalists"
12539,22.9722222222222,4,5568.35,2011-01-10 09:11:00,2011-11-17 13:30:00,4,4,5,13,"445","Champions"
12540,20.0548611111111,17,13400.24,2010-12-13 09:39:00,2011-11-20 11:31:00,4,5,5,14,"455","Champions"
12541,30.0902777777778,3,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,4,4,4,12,"444","Loyal Customers"
12544,36.8576388888889,1,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,3,2,2,7,"322","Potential Loyalists"
12545,75.9659722222222,2,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,2,3,4,9,"234","Needing Attention"
12546,47.0284722222222,2,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,3,3,4,10,"334","Potential Loyalists"
12547,198.008333333333,2,207.8,2011-03-04 12:46:00,2011-05-26 12:38:00,1,3,1,5,"131","Others"
12548,166.885416666667,1,95.2,2011-06-26 15:35:00,2011-06-26 15:35:00,2,2,1,5,"221","Hibernating"
12550,79.9270833333333,1,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,2,2,4,8,"224","At Risk"
12551,358.060416666667,1,168,2010-12-17 11:23:00,2010-12-17 11:23:00,1,2,1,4,"121","Hibernating"
12552,39.1166666666667,2,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,3,3,2,8,"332","Potential Loyalists"
12553,8.84166666666667,10,3692.28,2011-01-14 10:42:00,2011-12-01 16:38:00,5,5,5,15,"555","Champions"
12556,50.9888888888889,2,603.71,2011-07-11 13:35:00,2011-10-20 13:06:00,3,3,3,9,"333","Potential Loyalists"
12557,16.8270833333333,5,11990.96,2010-12-03 12:20:00,2011-11-23 16:59:00,4,4,5,13,"445","Champions"
12558,8.08958333333333,1,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,5,2,2,9,"522","Potential Loyalists"
12559,311.125694444444,2,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,1,3,3,7,"133","Needing Attention"
12560,5.95555555555556,3,2134.01,2011-07-19 15:55:00,2011-12-04 13:54:00,5,4,5,14,"545","Champions"
12561,303.049305555556,1,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,1,2,1,4,"121","Hibernating"
12562,8.8125,7,3781.74,2011-05-25 12:44:00,2011-12-01 17:20:00,5,5,5,15,"555","Champions"
12564,261.913194444444,1,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,1,2,2,5,"122","At Risk"
12565,289.094444444444,1,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,1,2,1,4,"121","Hibernating"
12566,86.9305555555556,1,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,2,2,2,6,"222","At Risk"
12567,23.075,10,9401.28,2010-12-05 11:57:00,2011-11-17 11:02:00,4,5,5,14,"455","Champions"
12569,2.85138888888889,32,4124.69,2011-04-01 13:47:00,2011-12-07 16:24:00,5,5,5,15,"555","Champions"
12571,40.1048611111111,2,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,3,3,3,9,"333","Potential Loyalists"
12572,9.14583333333333,2,1020.42,2011-10-19 08:20:00,2011-12-01 09:20:00,5,3,4,12,"534","Loyal Customers"
12573,227.873611111111,1,160.54,2011-04-26 15:52:00,2011-04-26 15:52:00,1,2,1,4,"121","Hibernating"
12574,316.145833333333,1,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,1,2,1,4,"121","Hibernating"
12576,36.1104166666667,5,1315.83,2011-02-08 11:31:00,2011-11-04 10:11:00,3,4,4,11,"344","Potential Loyalists"
12577,35.9763888888889,3,657.8,2010-12-15 16:21:00,2011-11-04 13:24:00,3,4,3,10,"343","Potential Loyalists"
12578,21.9722222222222,2,2794.51,2011-01-13 15:34:00,2011-11-18 13:30:00,4,3,5,12,"435","Loyal Customers"
12579,78.8159722222222,1,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,2,2,2,6,"222","At Risk"
12580,247.101388888889,1,415.7,2011-04-07 10:24:00,2011-04-07 10:24:00,1,2,2,5,"122","At Risk"
12581,40.1625,1,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,3,2,1,6,"321","Others"
12582,239.170138888889,2,511.36,2011-02-24 11:42:00,2011-04-15 08:45:00,1,3,3,7,"133","Needing Attention"
12583,3.19652777777778,15,7281.38,2010-12-01 08:45:00,2011-12-07 08:07:00,5,5,5,15,"555","Champions"
12584,4.13541666666667,9,2338.15,2011-03-04 15:15:00,2011-12-06 09:35:00,5,5,5,15,"555","Champions"
12585,234.965972222222,2,2040.1,2010-12-23 12:58:00,2011-04-19 13:39:00,1,3,4,8,"134","Needing Attention"
12586,17.8513888888889,1,196.94,2011-11-22 16:24:00,2011-11-22 16:24:00,4,2,1,7,"421","Others"
12587,8.00208333333333,1,144,2011-12-02 12:47:00,2011-12-02 12:47:00,5,2,1,8,"521","Others"
12588,39.9090277777778,1,214.9,2011-10-31 15:01:00,2011-10-31 15:01:00,3,2,1,6,"321","Others"
12589,29.1048611111111,2,646.68,2011-07-18 12:05:00,2011-11-11 10:19:00,4,3,3,10,"433","Loyal Customers"
12590,211.915277777778,2,9864.26,2011-05-12 14:46:00,2011-05-12 14:52:00,1,3,5,9,"135","Needing Attention"
12591,317.927083333333,1,452.85,2011-01-26 14:35:00,2011-01-26 14:35:00,1,2,2,5,"122","At Risk"
12592,92.9069444444444,2,437.6,2011-05-10 13:44:00,2011-09-08 15:04:00,2,3,2,7,"232","At Risk"
12593,109.004861111111,3,418.1,2011-05-05 09:29:00,2011-08-23 12:43:00,2,4,2,8,"242","At Risk"
12594,38.0208333333333,10,3338.22,2011-01-21 09:52:00,2011-11-02 12:20:00,3,5,5,13,"355","Champions"
12596,51.9916666666667,2,618.27,2011-04-11 13:22:00,2011-10-19 13:02:00,3,3,3,9,"333","Potential Loyalists"
12597,19.9701388888889,4,3811.22,2011-03-16 14:00:00,2011-11-20 13:33:00,4,4,5,13,"445","Champions"
12598,10.0222222222222,8,3023.08,2011-02-28 11:58:00,2011-11-30 12:18:00,5,5,5,15,"555","Champions"
12599,29.9694444444444,7,1032.58,2011-02-08 13:28:00,2011-11-10 13:34:00,4,5,4,13,"454","Champions"
12600,29.0979166666667,10,2599.04,2010-12-03 12:57:00,2011-11-11 10:29:00,4,5,5,14,"455","Champions"
12601,190.10625,5,577.06,2011-01-11 10:38:00,2011-06-03 10:17:00,1,4,3,8,"143","Needing Attention"
12602,59.0611111111111,1,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,3,2,1,6,"321","Others"
12603,22.0888888888889,1,739.2,2011-11-18 10:42:00,2011-11-18 10:42:00,4,2,3,9,"423","Potential Loyalists"
12604,79.9458333333333,2,254.18,2011-03-23 12:06:00,2011-09-21 14:08:00,2,3,2,7,"232","At Risk"
12607,60.8638888888889,1,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,3,2,4,9,"324","Potential Loyalists"
12609,78.8444444444444,3,1126.85,2011-01-25 15:13:00,2011-09-22 16:34:00,2,4,4,10,"244","Needing Attention"
12610,23.1361111111111,5,2099.54,2011-08-05 13:52:00,2011-11-17 09:34:00,4,4,5,13,"445","Champions"
12611,52.9847222222222,1,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,3,2,4,9,"324","Potential Loyalists"
12612,74.8854166666667,1,704.04,2011-09-26 15:35:00,2011-09-26 15:35:00,2,2,3,7,"223","At Risk"
12613,57.9104166666667,5,3344.38,2011-03-22 15:42:00,2011-10-13 14:59:00,3,4,5,12,"345","Potential Loyalists"
12614,278.102777777778,1,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,1,2,2,5,"122","At Risk"
12615,2.90833333333333,4,2291.19,2011-06-24 13:35:00,2011-12-07 15:02:00,5,4,5,14,"545","Champions"
12616,95.8979166666667,2,713.3,2011-02-15 14:17:00,2011-09-05 15:17:00,2,3,3,8,"233","Needing Attention"
12617,29.9243055555556,1,355.53,2011-11-10 14:39:00,2011-11-10 14:39:00,4,2,2,8,"422","Potential Loyalists"
12618,22.0694444444444,1,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,4,2,1,7,"421","Others"
12619,16.9152777777778,9,3641.24,2011-03-31 13:10:00,2011-11-23 14:52:00,4,5,5,14,"455","Champions"
12620,15.1041666666667,3,1339.41,2011-05-19 12:10:00,2011-11-25 10:20:00,4,4,4,12,"444","Loyal Customers"
12621,2.05902777777778,20,13689.67,2010-12-09 10:16:00,2011-12-08 11:25:00,5,5,5,15,"555","Champions"
12622,232.840972222222,1,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,1,2,1,4,"121","Hibernating"
12623,276.958333333333,1,305.1,2011-03-08 13:50:00,2011-03-08 13:50:00,1,2,2,5,"122","At Risk"
12624,106.906944444444,2,641.13,2011-06-15 12:34:00,2011-08-25 15:04:00,2,3,3,8,"233","Needing Attention"
